#START7777
#             TM   L_VIS  R_VIS  L_RVR  R_RVR  CH_MIN    TA     TD     HM     PS     PA     RN  예비1  예비2   WD02   WD02   WD02   WS02   WS02   WS02   WD10   WD10   WD10   WS10   WS10   WS10
#    YYYYMMDDHHMI                                  m   0.1C   0.1C      % 0.1hPa 0.1hPa  0.1mm                  deg    MAX    MIN 0.1m/s    MAX    MIN    deg    MAX    MIN 0.1m/s    MAX    MIN
 110 202407100121  10000 -99999   2000 -99999   2800    235    234     99  10011   9990      3 -99999 -99999     90    100     70     48     63     34     80    110     50     41     67     22
 113 202407100121  10000 -99999   2000 -99999   1100    236    217     89  10012  10004      1 -99999 -99999     60    100     30     29     42     11     70    100     20     33     57     11
 151 202407100121  10000 -99999   2000 -99999   1500    230    227     98  10059  10049     20 -99999 -99999    330    340    310     15     17     13    320    350    290     11     17      6
 163 202407100121  10000 -99999   2000 -99999   1300    259    244     92  10010   9996      1 -99999 -99999    190    200    170     68    108     47    180    200    160     66    108     46
 167 202407100121  10000 -99999   2000 -99999   1200    260    246     92  10040  10029      0 -99999 -99999    200    230    170     37     52     24    180    220    150     46     82     24
 182 202407100121  10000 -99999   2000 -99999  20700    286    228     71  10036  10008      0 -99999 -99999    230    250    210     96    163     51    220    240    190     92    163     41
  92 202407100122   1800 -99999   2000 -99999    300    221    218     98  10040   9965      0 -99999 -99999     70    100     40     16     19      9     70    100     20     15     21      7
 151 202407100122  10000 -99999   2000 -99999   1500    230    227     99  10059  10049     20 -99999 -99999    320    330    310     14     17     11    320    350    290     11     17      6
 163 202407100122  10000 -99999   2000 -99999   1300    259    244     92  10010   9995      1 -99999 -99999    190    200    170     66    102     47    180    200    160     66    108     46
 167 202407100122  10000 -99999   2000 -99999   1200    260    246     92  10039  10029      0 -99999 -99999    200    220    170     40     62     28    190    220    150     47     82     24
 110 202407100122  10000 -99999   2000 -99999   2800    235    234     99  10010   9989      3 -99999 -99999     90    100     70     48     62     34     80    110     50     42     67     22
 113 202407100122  10000 -99999   2000 -99999   1100    237    218     89  10013  10005      1 -99999 -99999     70     90     50     30     42     23     70    100     20     32     57     11
 182 202407100122  10000 -99999   2000 -99999  20800    286    228     71  10036  10009      0 -99999 -99999    230    240    210     96    136     59    220    240    190     94    163     44
  92 202407100123   2400 -99999   2000 -99999    300    220    218     98  10040   9965      0 -99999 -99999     70     80     70     17     19     14     70    100     40     16     21      9
 163 202407100123  10000 -99999   2000 -99999   1300    259    244     92  10010   9996      1 -99999 -99999    190    200    170     67     87     47    180    200    160     66    108     46
 110 202407100123  10000 -99999   2000 -99999   2800    235    234     99  10010   9989      3 -99999 -99999     90    100     70     47     62     34     80    110     50     42     67     22
 113 202407100123  10000 -99999   2000 -99999   1100    237    217     89  10014  10006      1 -99999 -99999     70    100     50     30     45     16     70    100     20     30     56     11
 182 202407100123  10000 -99999   2000 -99999  20800    286    228     71  10035  10008      0 -99999 -99999    230    250    210     92    138     59    220    240    190     93    163     44
 151 202407100123  10000 -99999   2000 -99999   1300    230    228     99  10058  10049     20 -99999 -99999    320    340    310     11     15      9    320    350    290     11     17      6
 167 202407100123  10000 -99999   2000 -99999   1200    260    245     91  10039  10028      0 -99999 -99999    200    220    170     47     65     31    190    220    150     48     82     24
  92 202407100124   2200 -99999   2000 -99999    300    220    217     98  10040   9965      0 -99999 -99999     70     80     40     15     19      9     70    100     30     15     21      9
 110 202407100124  10000 -99999   2000 -99999   2800    235    234     99  10010   9989      3 -99999 -99999     90    110     80     46     60     37     80    100     50     42     63     24
 182 202407100124  10000 -99999   2000 -99999  20800    286    228     71  10036  10008      0 -99999 -99999    230    250    200     96    143     60    220    240    190     94    163     51
 113 202407100124  10000 -99999   2000 -99999   1100    238    218     89  10016  10008      1 -99999 -99999     70    100     40     27     45     15     60    100     20     29     56     11
 151 202407100124  10000 -99999   2000 -99999   1300    230    228     99  10058  10048     20 -99999 -99999    340     10    320     10     12      7    320    360    300     11     17      6
 163 202407100124  10000 -99999   2000 -99999   1300    259    245     92  10009   9995      1 -99999 -99999    190    200    170     63     89     40    180    200    160     67    108     40
 167 202407100124  10000 -99999   2000 -99999   1200    260    244     90  10039  10028      0 -99999 -99999    210    220    190     54     68     38    190    220    160     48     78     24
  92 202407100125   2400 -99999   2000 -99999    300    220    217     98  10040   9965      0 -99999 -99999     70     80     40     15     20      9     60    100     30     15     21      9
 110 202407100125  10000 -99999   2000 -99999   2800    235    234    100  10010   9990      3 -99999 -99999     90    110     70     45     61     33     80    100     50     43     63     24
 113 202407100125  10000 -99999   2000 -99999   1100    240    219     88  10017  10010      1 -99999 -99999     50     50     10     29     51      9     60     60    360     28     51      9
 151 202407100125  10000 -99999   2000 -99999   1300    230    227     99  10058  10048     20 -99999 -99999    360     10    360     11     14      7    330    360    330     11     17      6
 163 202407100125  10000 -99999   2000 -99999   1300    260    245     91  10009   9995      1 -99999 -99999    190    200    170     70    103     40    180    200    160     68    108     40
 167 202407100125  10000 -99999   2000 -99999   1200    261    243     90  10039  10028      0 -99999 -99999    210    220    190     61     83     46    190    220    160     49     83     24
 182 202407100125  10000 -99999   2000 -99999  20800    286    227     70  10035  10008      0 -99999 -99999    220    240    200     92    143     58    220    240    190     93    163     51
  92 202407100126   2400 -99999   2000 -99999    300    220    217     98  10040   9964      0 -99999 -99999     70     90     60     16     20     11     60    100     30     16     21      9
 110 202407100126  10000 -99999   2000 -99999   2800    235    234    100  10011   9990      3 -99999 -99999     90    110     70     45     61     33     80    100     50     44     63     24
 113 202407100126  10000 -99999   2000 -99999   1100    243    218     86  10019  10011      1 -99999 -99999     50     50     10     26     51      9     60     60    360     27     51      9
 151 202407100126  10000 -99999   2000 -99999   1300    230    228     99  10058  10048     20 -99999 -99999     10     10    360     12     14      9    330    360    330     12     17      6
 163 202407100126  10000 -99999   2000 -99999   1300    260    245     91  10010   9995      1 -99999 -99999    190    200    170     73    103     44    180    200    160     68    108     40
 167 202407100126  10000 -99999   2000 -99999   1200    261    243     90  10039  10028      0 -99999 -99999    210    220    190     61     83     41    190    220    160     49     83     24
